"layer_from","node_from","layer_to","node_to","weight"
4,10,4,187,0.0169491525423729
4,10,4,213,0.0338983050847458
4,10,4,217,0.0508474576271186
4,10,4,220,0.0169491525423729
4,10,4,243,0.0169491525423729
4,10,4,253,0.0338983050847458
4,12,4,275,1
4,13,4,46,0.03125
4,13,4,92,0.09375
4,13,4,185,0.03125
4,13,4,266,0.1875
4,14,4,60,0.0588235294117647
4,14,4,92,0.0588235294117647
4,14,4,217,0.176470588235294
4,14,4,274,0.117647058823529
4,14,4,275,0.235294117647059
4,17,4,50,0.024390243902439
4,17,4,92,0.024390243902439
4,17,4,130,0.024390243902439
4,17,4,136,0.024390243902439
4,17,4,140,0.024390243902439
4,17,4,165,0.0731707317073171
4,17,4,192,0.024390243902439
4,17,4,217,0.170731707317073
4,17,4,275,0.121951219512195
4,17,4,279,0.0731707317073171
4,17,4,284,0.0731707317073171
4,23,4,55,0.166666666666667
4,23,4,182,0.166666666666667
4,23,4,195,0.166666666666667
4,23,4,266,0.166666666666667
4,26,4,92,0.166666666666667
4,31,4,92,0.0727272727272727
4,31,4,109,0.00606060606060606
4,31,4,110,0.00606060606060606
4,31,4,111,0.212121212121212
4,31,4,150,0.0181818181818182
4,31,4,170,0.0848484848484849
4,31,4,185,0.00606060606060606
4,31,4,187,0.0181818181818182
4,31,4,217,0.00606060606060606
4,31,4,235,0.0242424242424242
4,31,4,238,0.0121212121212121
4,31,4,241,0.00606060606060606
4,31,4,243,0.0303030303030303
4,37,4,154,0.125
4,37,4,187,0.125
4,37,4,274,0.125
4,38,4,60,0.0175438596491228
4,38,4,73,0.0175438596491228
4,38,4,92,0.0350877192982456
4,38,4,140,0.0175438596491228
4,38,4,192,0.333333333333333
4,38,4,216,0.0350877192982456
4,38,4,266,0.0175438596491228
4,38,4,274,0.0175438596491228
4,38,4,275,0.140350877192982
5,1,5,81,0.0075187969924812
5,1,5,92,0.0526315789473684
5,1,5,126,0.037593984962406
5,1,5,132,0.0075187969924812
5,1,5,135,0.0075187969924812
5,1,5,165,0.0827067669172932
5,1,5,166,0.0075187969924812
5,1,5,181,0.0300751879699248
5,1,5,224,0.0150375939849624
5,1,5,227,0.0150375939849624
5,1,5,254,0.0075187969924812
5,1,5,274,0.0676691729323308
5,1,5,275,0.0977443609022556
5,1,5,278,0.0827067669172932
5,5,5,92,0.25
5,5,5,181,0.173076923076923
5,5,5,211,0.153846153846154
5,5,5,217,0.0192307692307692
5,8,5,92,0.26605504587156
5,8,5,141,0.018348623853211
5,8,5,217,0.018348623853211
5,8,5,260,0.00917431192660551
5,8,5,266,0.00917431192660551
5,9,5,50,0.08300395256917
5,9,5,78,0.00395256916996047
5,9,5,87,0.00395256916996047
5,9,5,92,0.0790513833992095
5,9,5,104,0.00395256916996047
5,9,5,120,0.00395256916996047
5,9,5,126,0.00790513833992095
5,9,5,138,0.00395256916996047
5,9,5,141,0.0316205533596838
5,9,5,165,0.00790513833992095
5,9,5,217,0.00790513833992095
5,9,5,242,0.00395256916996047
5,9,5,270,0.00395256916996047
5,9,5,274,0.102766798418972
5,9,5,278,0.0671936758893281
5,10,5,92,0.305555555555556
5,10,5,126,0.0277777777777778
5,12,5,50,0.285714285714286
5,12,5,55,0.012987012987013
5,12,5,92,0.012987012987013
5,12,5,163,0.025974025974026
5,12,5,165,0.012987012987013
5,12,5,275,0.519480519480519
5,17,5,126,0.25
5,26,5,43,0.0476190476190476
5,26,5,50,0.0476190476190476
5,26,5,55,0.476190476190476
5,26,5,92,0.0476190476190476
5,26,5,165,0.142857142857143
5,27,5,92,0.0681818181818182
5,27,5,275,0.136363636363636
5,29,5,92,1
5,31,5,50,0.00909090909090909
5,31,5,60,0.00909090909090909
5,31,5,92,0.445454545454545
5,31,5,138,0.0272727272727273
5,31,5,152,0.00909090909090909
5,31,5,187,0.00909090909090909
5,31,5,242,0.00909090909090909
5,35,5,50,0.0434782608695652
5,35,5,78,0.0434782608695652
5,35,5,92,0.304347826086957
5,35,5,175,0.0434782608695652
5,35,5,242,0.0434782608695652
5,38,5,50,0.176470588235294
5,38,5,92,0.352941176470588
5,38,5,165,0.117647058823529
5,38,5,166,0.0588235294117647
5,38,5,167,0.0588235294117647
5,1,5,60,0.0075187969924812
5,1,5,92,0.0601503759398496
5,1,5,126,0.0225563909774436
5,1,5,137,0.0075187969924812
5,1,5,165,0.0300751879699248
5,1,5,190,0.0075187969924812
5,1,5,241,0.0075187969924812
5,1,5,254,0.0225563909774436
5,1,5,274,0.0225563909774436
5,1,5,275,0.0150375939849624
5,1,5,278,0.278195488721804
5,4,5,139,1
5,5,5,50,0.0769230769230769
5,5,5,92,0.115384615384615
5,5,5,138,0.0192307692307692
5,5,5,181,0.0961538461538462
5,5,5,211,0.0769230769230769
5,5,5,254,0.0192307692307692
5,6,5,92,0.25
5,6,5,276,0.25
5,6,5,278,0.5
5,8,5,92,0.220183486238532
5,8,5,96,0.00917431192660551
5,8,5,102,0.00917431192660551
5,8,5,138,0.00917431192660551
5,8,5,178,0.0275229357798165
5,8,5,217,0.321100917431193
5,8,5,218,0.018348623853211
5,8,5,266,0.0642201834862385
5,9,5,50,0.075098814229249
5,9,5,83,0.0158102766798419
5,9,5,92,0.201581027667984
5,9,5,118,0.00395256916996047
5,9,5,124,0.00395256916996047
5,9,5,138,0.0118577075098814
5,9,5,141,0.0434782608695652
5,9,5,142,0.0316205533596838
5,9,5,175,0.00790513833992095
5,9,5,184,0.00395256916996047
5,9,5,242,0.00790513833992095
5,9,5,266,0.0118577075098814
5,9,5,274,0.16600790513834
5,10,5,92,0.555555555555556
5,10,5,138,0.0277777777777778
5,10,5,139,0.0277777777777778
5,10,5,142,0.0555555555555556
5,12,5,92,0.025974025974026
5,12,5,163,0.038961038961039
5,12,5,275,0.0649350649350649
5,13,5,92,0.727272727272727
5,13,5,101,0.0909090909090909
5,13,5,158,0.181818181818182
5,16,5,165,1
5,17,5,178,0.25
5,17,5,254,0.25
5,17,5,284,0.25
5,18,5,44,0.142857142857143
5,18,5,55,0.142857142857143
5,18,5,56,0.142857142857143
5,18,5,92,0.5
5,18,5,166,0.0714285714285714
5,26,5,44,0.0476190476190476
5,26,5,55,0.0476190476190476
5,26,5,56,0.0476190476190476
5,26,5,92,0.0476190476190476
5,26,5,266,0.0476190476190476
5,27,5,92,0.363636363636364
5,27,5,109,0.0909090909090909
5,27,5,275,0.340909090909091
5,30,5,50,0.191919191919192
5,30,5,55,0.0707070707070707
5,30,5,92,0.0303030303030303
5,30,5,124,0.0101010101010101
5,30,5,126,0.0707070707070707
5,30,5,138,0.0909090909090909
5,30,5,139,0.0505050505050505
5,30,5,165,0.161616161616162
5,30,5,166,0.101010101010101
5,30,5,181,0.111111111111111
5,30,5,211,0.0101010101010101
5,30,5,254,0.0909090909090909
5,30,5,278,0.0101010101010101
5,31,5,40,0.00909090909090909
5,31,5,50,0.0272727272727273
5,31,5,92,0.327272727272727
5,31,5,112,0.00909090909090909
5,31,5,138,0.00909090909090909
5,31,5,141,0.0181818181818182
5,31,5,187,0.0727272727272727
5,31,5,193,0.00909090909090909
5,35,5,92,0.478260869565217
5,35,5,242,0.0434782608695652
5,38,5,92,0.0588235294117647
5,38,5,124,0.0588235294117647
5,38,5,140,0.0588235294117647
5,38,5,178,0.0588235294117647
6,1,6,80,0.0117647058823529
6,1,6,88,0.0235294117647059
6,1,6,90,0.0117647058823529
6,1,6,92,0.0235294117647059
6,1,6,111,0.0235294117647059
6,1,6,165,0.0588235294117647
6,1,6,192,0.0117647058823529
6,1,6,215,0.0117647058823529
6,1,6,255,0.0470588235294118
6,1,6,269,0.0235294117647059
6,1,6,270,0.0117647058823529
6,1,6,272,0.0352941176470588
6,1,6,274,0.0352941176470588
6,1,6,275,0.0705882352941176
6,8,6,67,0.0120481927710843
6,8,6,92,0.36144578313253
6,8,6,141,0.072289156626506
6,8,6,216,0.036144578313253
6,8,6,219,0.0120481927710843
6,8,6,238,0.0120481927710843
6,8,6,255,0.0240963855421687
6,8,6,272,0.0120481927710843
6,9,6,92,0.0816326530612245
6,9,6,126,0.00680272108843537
6,9,6,141,0.115646258503401
6,9,6,205,0.00680272108843537
6,9,6,207,0.0136054421768707
6,9,6,216,0.0680272108843537
6,9,6,255,0.00680272108843537
6,9,6,272,0.00680272108843537
6,9,6,274,0.102040816326531
6,10,6,62,0.0298507462686567
6,10,6,92,0.402985074626866
6,10,6,138,0.0149253731343284
6,10,6,187,0.0149253731343284
6,10,6,197,0.0149253731343284
6,10,6,255,0.0298507462686567
6,16,6,275,0.25
6,17,6,60,0.0188679245283019
6,17,6,88,0.0377358490566038
6,17,6,126,0.0188679245283019
6,17,6,156,0.0188679245283019
6,17,6,163,0.0188679245283019
6,17,6,165,0.0188679245283019
6,17,6,275,0.0377358490566038
6,20,6,92,1
6,31,6,92,0.159090909090909
6,31,6,165,0.0113636363636364
6,31,6,177,0.0227272727272727
6,31,6,207,0.0340909090909091
6,31,6,216,0.0340909090909091
6,31,6,245,0.0113636363636364
6,33,6,88,0.0185185185185185
6,33,6,165,0.111111111111111
6,33,6,192,0.0185185185185185
6,33,6,216,0.037037037037037
6,33,6,272,0.0555555555555556
6,33,6,275,0.111111111111111
6,34,6,60,0.2
6,34,6,165,0.6
6,34,6,255,0.2
6,35,6,62,0.0476190476190476
6,35,6,68,0.0476190476190476
6,35,6,138,0.0476190476190476
6,35,6,163,0.0952380952380952
6,35,6,238,0.0952380952380952
6,35,6,243,0.0476190476190476
6,1,6,80,0.0117647058823529
6,1,6,88,0.0588235294117647
6,1,6,165,0.0235294117647059
6,1,6,170,0.0588235294117647
6,1,6,255,0.0470588235294118
6,1,6,272,0.0117647058823529
6,1,6,274,0.388235294117647
6,4,6,55,0.5
6,4,6,98,0.5
6,8,6,88,0.0120481927710843
6,8,6,92,0.120481927710843
6,8,6,141,0.0120481927710843
6,8,6,144,0.0120481927710843
6,8,6,163,0.0843373493975904
6,8,6,216,0.192771084337349
6,8,6,235,0.0120481927710843
6,8,6,255,0.0120481927710843
6,9,6,47,0.0612244897959184
6,9,6,92,0.0952380952380952
6,9,6,108,0.00680272108843537
6,9,6,133,0.0204081632653061
6,9,6,141,0.115646258503401
6,9,6,163,0.0272108843537415
6,9,6,165,0.00680272108843537
6,9,6,216,0.0748299319727891
6,9,6,272,0.142857142857143
6,9,6,274,0.0408163265306122
6,10,6,92,0.358208955223881
6,10,6,101,0.0149253731343284
6,10,6,148,0.0149253731343284
6,10,6,163,0.0149253731343284
6,10,6,187,0.0149253731343284
6,10,6,238,0.0149253731343284
6,10,6,255,0.0597014925373134
6,12,6,55,0.2
6,12,6,56,0.1
6,12,6,60,0.2
6,12,6,165,0.3
6,12,6,239,0.2
6,16,6,44,0.25
6,16,6,55,0.25
6,16,6,275,0.25
6,17,6,55,0.0188679245283019
6,17,6,60,0.0943396226415094
6,17,6,62,0.0188679245283019
6,17,6,92,0.0188679245283019
6,17,6,138,0.0188679245283019
6,17,6,165,0.39622641509434
6,17,6,203,0.0188679245283019
6,17,6,215,0.0188679245283019
6,17,6,216,0.0943396226415094
6,17,6,272,0.0188679245283019
6,17,6,275,0.0943396226415094
6,17,6,284,0.0188679245283019
6,26,6,44,0.285714285714286
6,26,6,84,0.285714285714286
6,26,6,163,0.285714285714286
6,26,6,165,0.142857142857143
6,31,6,62,0.125
6,31,6,92,0.545454545454545
6,31,6,216,0.0454545454545455
6,31,6,243,0.0113636363636364
6,33,6,60,0.0185185185185185
6,33,6,92,0.166666666666667
6,33,6,146,0.0185185185185185
6,33,6,163,0.0555555555555556
6,33,6,165,0.037037037037037
6,33,6,170,0.0185185185185185
6,33,6,192,0.0555555555555556
6,33,6,216,0.037037037037037
6,33,6,272,0.0185185185185185
6,33,6,275,0.203703703703704
6,33,6,283,0.0185185185185185
6,35,6,62,0.0476190476190476
6,35,6,92,0.142857142857143
6,35,6,143,0.0476190476190476
6,35,6,163,0.0476190476190476
